File,Subject,Verb,Object
vnp_url_218.txt,général,conformément,Miralles
vnp_url_11.txt,’,Viettel,produits
vnp_url_400.txt,ambassadeur,facilite,soutien
vnp_url_278.txt,général,conformément,Miralles
vnp_url_217.txt,Ils,suggéré,protocole
vnp_url_2.txt,il,déclaré,profonde
vnp_url_197.txt,Ils,suggéré,protocole
vnp_url_379.txt,délégation,",",homme
vnp_url_122.txt,il,déclaré,profonde
vnp_url_206.txt,produits,rien,capacité
vnp_url_141.txt,,Malaisie,
vnp_url_322.txt,il,déclaré,profonde
vnp_url_86.txt,produits,rien,capacité
vnp_url_178.txt,général,conformément,Miralles
vnp_url_39.txt,délégation,",",homme
vnp_url_43.txt,il,estime,»
vnp_url_417.txt,Ils,suggéré,protocole
vnp_url_47.txt,défense,attache,
vnp_url_20.txt,ambassadeur,facilite,soutien
vnp_url_158.txt,général,conformément,Miralles
vnp_url_21.txt,,Malaisie,
vnp_url_421.txt,,Malaisie,
vnp_url_133.txt,échange,Chine,amitié
vnp_url_362.txt,il,déclaré,profonde
vnp_url_364.txt,parties,affirmé,domaines
vnp_url_238.txt,général,conformément,Miralles
vnp_url_4.txt,parties,affirmé,domaines
vnp_url_279.txt,délégation,",",homme
vnp_url_137.txt,Ils,suggéré,protocole
vnp_url_65.txt,nous,premier,fermement
vnp_url_220.txt,ambassadeur,facilite,soutien
vnp_url_211.txt,’,Viettel,produits
vnp_url_386.txt,produits,rien,capacité
vnp_url_341.txt,,Malaisie,
vnp_url_306.txt,produits,rien,capacité
vnp_url_125.txt,nous,premier,fermement
vnp_url_184.txt,parties,affirmé,domaines
vnp_url_327.txt,défense,attache,
vnp_url_431.txt,’,Viettel,produits
vnp_url_368.txt,Laos,libéré,régime
vnp_url_291.txt,’,Viettel,produits
vnp_url_240.txt,ambassadeur,facilite,soutien
vnp_url_71.txt,’,Viettel,produits
vnp_url_117.txt,Ils,suggéré,protocole
vnp_url_303.txt,il,estime,»
vnp_url_73.txt,échange,Chine,amitié
vnp_url_463.txt,il,estime,»
vnp_url_343.txt,il,estime,»
vnp_url_126.txt,produits,rien,capacité
vnp_url_159.txt,délégation,",",homme
vnp_url_124.txt,parties,affirmé,domaines
vnp_url_138.txt,général,conformément,Miralles
vnp_url_462.txt,il,déclaré,profonde
vnp_url_48.txt,Laos,libéré,régime
vnp_url_348.txt,Laos,libéré,régime
vnp_url_261.txt,,Malaisie,
vnp_url_208.txt,Laos,libéré,régime
vnp_url_219.txt,délégation,",",homme
vnp_url_205.txt,nous,premier,fermement
vnp_url_307.txt,défense,attache,
vnp_url_179.txt,délégation,",",homme
vnp_url_204.txt,parties,affirmé,domaines
vnp_url_145.txt,nous,premier,fermement
vnp_url_459.txt,délégation,",",homme
vnp_url_273.txt,échange,Chine,amitié
vnp_url_380.txt,ambassadeur,facilite,soutien
vnp_url_228.txt,Laos,libéré,régime
vnp_url_458.txt,général,conformément,Miralles
vnp_url_45.txt,nous,premier,fermement
vnp_url_144.txt,parties,affirmé,domaines
vnp_url_82.txt,il,déclaré,profonde
vnp_url_97.txt,Ils,suggéré,protocole
vnp_url_357.txt,Ils,suggéré,protocole
vnp_url_402.txt,il,déclaré,profonde
vnp_url_239.txt,délégation,",",homme
vnp_url_481.txt,,Malaisie,
vnp_url_187.txt,défense,attache,
vnp_url_207.txt,défense,attache,
vnp_url_324.txt,parties,affirmé,domaines
vnp_url_66.txt,produits,rien,capacité
vnp_url_28.txt,Laos,libéré,régime
vnp_url_247.txt,défense,attache,
vnp_url_163.txt,il,estime,»
vnp_url_493.txt,échange,Chine,amitié
vnp_url_499.txt,délégation,",",homme
vnp_url_407.txt,défense,attache,
vnp_url_337.txt,Ils,suggéré,protocole
vnp_url_286.txt,produits,rien,capacité
vnp_url_79.txt,délégation,",",homme
vnp_url_181.txt,,Malaisie,
vnp_url_391.txt,’,Viettel,produits
vnp_url_300.txt,ambassadeur,facilite,soutien
vnp_url_326.txt,produits,rien,capacité
vnp_url_347.txt,défense,attache,
vnp_url_221.txt,,Malaisie,
vnp_url_167.txt,défense,attache,
vnp_url_22.txt,il,déclaré,profonde
vnp_url_305.txt,nous,premier,fermement
vnp_url_268.txt,Laos,libéré,régime
vnp_url_359.txt,délégation,",",homme
vnp_url_85.txt,nous,premier,fermement
vnp_url_78.txt,général,conformément,Miralles
vnp_url_281.txt,,Malaisie,
vnp_url_27.txt,défense,attache,
vnp_url_443.txt,il,estime,»
vnp_url_68.txt,Laos,libéré,régime
vnp_url_331.txt,’,Viettel,produits
vnp_url_361.txt,,Malaisie,
vnp_url_466.txt,produits,rien,capacité
vnp_url_319.txt,délégation,",",homme
vnp_url_213.txt,échange,Chine,amitié
vnp_url_102.txt,il,déclaré,profonde
vnp_url_325.txt,nous,premier,fermement
vnp_url_191.txt,’,Viettel,produits
vnp_url_427.txt,défense,attache,
vnp_url_477.txt,Ils,suggéré,protocole
vnp_url_426.txt,produits,rien,capacité
vnp_url_123.txt,il,estime,»
vnp_url_353.txt,échange,Chine,amitié
vnp_url_328.txt,Laos,libéré,régime
vnp_url_428.txt,Laos,libéré,régime
vnp_url_151.txt,’,Viettel,produits
vnp_url_51.txt,’,Viettel,produits
vnp_url_62.txt,il,déclaré,profonde
vnp_url_168.txt,Laos,libéré,régime
vnp_url_107.txt,défense,attache,
vnp_url_468.txt,Laos,libéré,régime
vnp_url_177.txt,Ils,suggéré,protocole
vnp_url_445.txt,nous,premier,fermement
vnp_url_227.txt,défense,attache,
vnp_url_18.txt,général,conformément,Miralles
vnp_url_342.txt,il,déclaré,profonde
vnp_url_444.txt,parties,affirmé,domaines
vnp_url_233.txt,échange,Chine,amitié
vnp_url_271.txt,’,Viettel,produits
vnp_url_340.txt,ambassadeur,facilite,soutien
vnp_url_351.txt,’,Viettel,produits
vnp_url_411.txt,’,Viettel,produits
vnp_url_317.txt,Ils,suggéré,protocole
vnp_url_457.txt,Ils,suggéré,protocole
vnp_url_60.txt,ambassadeur,facilite,soutien
vnp_url_333.txt,échange,Chine,amitié
vnp_url_304.txt,parties,affirmé,domaines
vnp_url_378.txt,général,conformément,Miralles
vnp_url_424.txt,parties,affirmé,domaines
vnp_url_473.txt,échange,Chine,amitié
vnp_url_405.txt,nous,premier,fermement
vnp_url_199.txt,délégation,",",homme
vnp_url_53.txt,échange,Chine,amitié
vnp_url_260.txt,ambassadeur,facilite,soutien
vnp_url_448.txt,Laos,libéré,régime
vnp_url_323.txt,il,estime,»
vnp_url_500.txt,ambassadeur,facilite,soutien
vnp_url_321.txt,,Malaisie,
vnp_url_497.txt,Ils,suggéré,protocole
vnp_url_345.txt,nous,premier,fermement
vnp_url_67.txt,défense,attache,
