Rubriques,NOM,rubrique
’,ABR,’
ASEAN,ABR,ASEAN
.,SENT,.
Les,DET:ART,le
deux,NUM,deux
parties,NOM,partie
sont,VER:pres,être
convenues,VER:pper,convenir
",",PUN,","
dans,PRP,dans
l,NOM,l
’,ABR,’
avenir,NOM,avenir
",",PUN,","
de,PRP,de
poursuivre,VER:infi,poursuivre
leurs,DET:POS,leur
efforts,NOM,effort
pour,PRP,pour
promouvoir,VER:infi,promouvoir
une,DET:ART,un
coopération,NOM,coopération
de,PRP,de
défense,NOM,défense
de,PRP,de
plus,ADV,plus
en,PRP,en
plus,ADV,plus
substantielle,ADJ,substantiel
et,KON,et
efficace,ADJ,efficace
",",PUN,","
en,PRO:PER,en
mettant,VER:ppre,mettre
l,VER:pper,l
',PUN,'
accent,NOM,accent
sur,PRP,sur
la,DET:ART,le
multiplication,NOM,multiplication
des,PRP:det,du
échanges,NOM,échange
et,KON,et
des,PRP:det,du
contacts,NOM,contact
à,PRP,à
tous,PRO:IND,tout
les,DET:ART,le
niveaux,NOM,niveau
;,PUN,;
la,DET:ART,le
promotion,NOM,promotion
de,PRP,de
l,NOM,l
',PUN,'
efficacité,NOM,efficacité
du,PRP:det,du
mécanisme,NOM,mécanisme
de,PRP,de
dialogue,NOM,dialogue
stratégique,ADJ,stratégique
et,KON,et
de,PRP,de
coopération,NOM,coopération
en,PRP,en
matière,NOM,matière
de,PRP,de
défense,NOM,défense
et,KON,et
de,PRP,de
maintien,NOM,maintien
de,PRP,de
la,DET:ART,le
paix,NOM,paix
des,PRP:det,du
Nations_Unies,NOM,Nations_Unies
;,PUN,;
l,VER:simp,l
’,ADJ,’
étude,NOM,étude
sur,PRP,sur
la,DET:ART,le
signature,NOM,signature
d,ADJ,d
',PUN,'
un,DET:ART,un
protocole,NOM,protocole
d,ADJ,d
',PUN,'
accord,NOM,accord
sur,PRP,sur
la,DET:ART,le
coopération,NOM,coopération
et,KON,et
la,DET:ART,le
formation,NOM,formation
;,PUN,;
le,DET:ART,le
renforcement,NOM,renforcement
de,PRP,de
la,DET:ART,le
coopération,NOM,coopération
médicale,ADJ,médical
militaire,ADJ,militaire
",",PUN,","
de,PRP,de
sécurité,NOM,sécurité
maritime,ADJ,maritime
",",PUN,","
de,PRP,de
lutte,NOM,lutte
contre,PRP,contre
le,DET:ART,le
terrorisme,NOM,terrorisme
",",PUN,","
de,PRP,de
résolution,NOM,résolution
des,PRP:det,du
conséquences,NOM,conséquence
de,PRP,de
la,DET:ART,le
guerre,NOM,guerre
;,PUN,;
le,DET:ART,le
perfectionnement,NOM,perfectionnement
des,PRP:det,du
cadres,NOM,cadre
juridiques,ADJ,juridique
de,PRP,de
coopération,NOM,coopération
dans,PRP,dans
tous,PRO:IND,tout
les,DET:ART,le
domaines,NOM,domaine
;,PUN,;
l,VER:simp,l
’,ADJ,’
étude,NOM,étude
sur,PRP,sur
la,DET:ART,le
coopération,NOM,coopération
dans,PRP,dans
recherche,NOM,recherche
et,KON,et
développement,NOM,développement
dans,PRP,dans
les,DET:ART,le
domaines,NOM,domaine
de,PRP,de
la,DET:ART,le
haute,ADJ,haut
technologie,NOM,technologie
",",PUN,","
de,PRP,de
la,DET:ART,le
cybersécurité,NOM,cybersécurité
et,KON,et
de,PRP,de
la,DET:ART,le
sécurité,NOM,sécurité
maritime,ADJ,maritime
...,PUN,...
Lors,ADV,lors
du,PRP:det,du
dialogue,NOM,dialogue
",",PUN,","
les,DET:ART,le
deux,NUM,deux
parties,NOM,partie
ont,VER:pres,avoir
également,ADV,également
partagé,VER:pper,partager
leurs,DET:POS,leur
points,NOM,point
de,PRP,de
vue,NOM,vue
sur,PRP,sur
la,DET:ART,le
situation,NOM,situation
mondiale,ADJ,mondial
et,KON,et
régionale,ADJ,régional
d,NOM,d
',PUN,'
intérêt,NOM,intérêt
commun,ADJ,commun
",",PUN,","
appréciant,VER:ppre,apprécier
le,DET:ART,le
rôle,NOM,rôle
de,PRP,de
la,DET:ART,le
région,NOM,région
et,KON,et
les,DET:ART,le
mécanismes,NOM,mécanisme
dirigés,VER:pper,diriger
par,PRP,par
l,NOM,l
',PUN,'
ASEAN,ABR,ASEAN
.,SENT,.
Hoàng_Xuân_Chiên,NAM,Hoàng_Xuân_Chiên
a,VER:pres,avoir
souligné,VER:pper,souligner
que,KON,que
le,DET:ART,le
Vietnam,NAM,Vietnam
était,VER:impf,être
cohérent,ADJ,cohérent
dans,PRP,dans
sa,DET:POS,son
politique,NOM,politique
étrangère,ADJ,étranger
d,NOM,d
',PUN,'
indépendance,NOM,indépendance
",",PUN,","
d,NOM,d
',PUN,'
autonomie,NOM,autonomie
",",PUN,","
de,PRP,de
paix,NOM,paix
",",PUN,","
d,NOM,d
',PUN,'
amitié,NOM,amitié
",",PUN,","
de,PRP,de
multilatéralisation,NOM,multilatéralisation
",",PUN,","
de,PRP,de
diversification,NOM,diversification
et,KON,et
de,PRP,de
mise,NOM,mise
en,PRP,en
œuvre,NOM,œuvre
cohérente,ADJ,cohérent
de,PRP,de
la,DET:ART,le
politique,NOM,politique
de,PRP,de
défense,NOM,défense
des,PRP:det,du
"""",PUN:cit,""""
quatre,NUM,quatre
non,ADV,non
"""",PUN:cit,""""
.,SENT,.
Concernant,VER:ppre,concerner
la,DET:ART,le
question,NOM,question
de,PRP,de
la,DET:ART,le
Mer_Orientale,NOM,Mer_Orientale
",",PUN,","
la,DET:ART,le
position,NOM,position
constante,ADJ,constant
du,PRP:det,du
Vietnam,NAM,Vietnam
est,VER:pres,être
de,PRP,de
résoudre,VER:infi,résoudre
les,DET:ART,le
différends,NOM,différend
de,PRP,de
manière,NOM,manière
résolue,ADJ,résolu
et,KON,et
persistante,ADJ,persistant
par,PRP,par
des,PRP:det,du
moyens,NOM,moyen
pacifiques,ADJ,pacifique
",",PUN,","
sur,PRP,sur
la,DET:ART,le
base,NOM,base
du,PRP:det,du
droit,NOM,droit
international,ADJ,international
",",PUN,","
notamment,ADV,notamment
la,DET:ART,le
Convention,NOM,convention
des,PRP:det,du
Nations,NOM,nation
Unies,VER:pper,unir
sur,PRP,sur
le,DET:ART,le
droite,NOM,droit|droite
de,PRP,de
la,DET:ART,le
mer,NOM,mer
de,PRP,de
1982,NUM,@card@
.,SENT,.
À,PRP,à
l,NOM,l
',PUN,'
issue,ADJ,issu
du,PRP:det,du
dialogue,NOM,dialogue
",",PUN,","
les,DET:ART,le
deux,NUM,deux
parties,NOM,partie
ont,VER:pres,avoir
signé,VER:pper,signer
le,DET:ART,le
troisième,NUM,troisième
procès,NOM,procès
-,PUN,-
verbal,ADJ,verbal
du,PRP:det,du
Dialogue,NOM,dialogue
de,PRP,de
stratégie,NOM,stratégie
et,KON,et
de,PRP,de
coopération,NOM,coopération
de,PRP,de
défense,NOM,défense
Vietnam,NAM,Vietnam
-,PUN,-
France,NAM,France
et,KON,et
publié,VER:pper,publier
le,DET:ART,le
Manuel,NAM,Manuel
de,PRP,de
terminologie,NOM,terminologie
militaire,ADJ,militaire
franco,ADV,franco
-,PUN,-
vietnamienne,ADJ,vietnamien
.,SENT,.
