Rubriques,NOM,rubrique
des,PRP:det,du
relations,NOM,relation
entre,PRP,entre
les,DET:ART,le
deux,NUM,deux
pays,NOM,pays
vers,PRP,vers
un,DET:ART,un
«,PUN:cit,«
partenariat,NOM,partenariat
de,PRP,de
coopération,NOM,coopération
stratégique,ADJ,stratégique
intégral,ADJ,intégral
»,PUN:cit,»
.,SENT,.
Lors,ADV,lors
de,PRP,de
l,NOM,l
’,ADJ,’
entretien,NOM,entretien
qui,PRO:REL,qui
s,VER:subi,s
’,NAM,’
est,VER:pres,être
tenu,VER:pper,tenir
après,PRP,après
la,DET:ART,le
cérémonie,NOM,cérémonie
d,VER:futu,d
’,ADJ,’
accueil,NOM,accueil
officielle,ADJ,officiel
",",PUN,","
le,DET:ART,le
général,ADJ,général
d,NOM,d
’,ADJ,’
armée,VER:pper,armer
Phan_Van_Giang,NAM,Phan_Van_Giang
a,VER:pres,avoir
affirmé,VER:pper,affirmer
que,KON,que
",",PUN,","
dans,PRP,dans
toutes,PRO:IND,tout
les,DET:ART,le
circonstances,NOM,circonstance
",",PUN,","
le,DET:ART,le
Vietnam,NAM,Vietnam
maintenait,VER:impf,maintenir
toujours,ADV,toujours
sa,DET:POS,son
vision,NOM,vision
constante,ADJ,constant
d,NOM,d
',PUN,'
attacher,VER:infi,attacher
de,PRP,de
l,NOM,l
',PUN,'
importance,NOM,importance
à,PRP,à
la,DET:ART,le
construction,NOM,construction
avec,PRP,avec
la,DET:ART,le
Chine,NAM,Chine
de,PRP,de
relations,NOM,relation
de,PRP,de
solidarité,NOM,solidarité
",",PUN,","
d,NOM,d
',PUN,'
amitié,NOM,amitié
",",PUN,","
de,PRP,de
stabilité,NOM,stabilité
à,PRP,à
long,ADJ,long
terme,NOM,terme
",",PUN,","
de,PRP,de
confiance,NOM,confiance
solide,ADJ,solide
et,KON,et
de,PRP,de
coopération,NOM,coopération
intégrale,ADJ,intégral
.,SENT,.
Il,PRO:PER,il
a,VER:pres,avoir
souligné,VER:pper,souligner
que,KON,que
le,DET:ART,le
Vietnam,NAM,Vietnam
persistait,VER:impf,persister
toujours,ADV,toujours
dans,PRP,dans
sa,DET:POS,son
politique,NOM,politique
étrangère,ADJ,étranger
d,VER:simp,d
’,ADJ,’
indépendance,NOM,indépendance
",",PUN,","
d,VER:simp,d
’,ADJ,’
autonomie,NOM,autonomie
",",PUN,","
de,PRP,de
paix,NOM,paix
",",PUN,","
d,VER:simp,d
’,ADJ,’
amitié,NOM,amitié
",",PUN,","
de,PRP,de
coopération,NOM,coopération
et,KON,et
de,PRP,de
développement,NOM,développement
",",PUN,","
ainsi,KON,ainsi
que,KON,que
sa,DET:POS,son
politique,NOM,politique
de,PRP,de
défense,NOM,défense
des,PRP:det,du
"""",PUN:cit,""""
4,NUM,@card@
non,ADV,non
"""",PUN:cit,""""
(,PUN,(
ne,ADV,ne
pas,ADV,pas
adhérer,VER:infi,adhérer
à,PRP,à
des,PRP:det,du
alliances,NOM,alliance
militaires,ADJ,militaire
",",PUN,","
ne,ADV,ne
pas,ADV,pas
s,VER:cond,s
’,ABR,’
associer,VER:infi,associer
à,PRP,à
un,DET:ART,un
pays,NOM,pays
pour,PRP,pour
combattre,VER:infi,combattre
un,DET:ART,un
autre,ADJ,autre
pays,NOM,pays
",",PUN,","
ne,ADV,ne
pas,ADV,pas
permettre,VER:infi,permettre
à,PRP,à
des,PRP:det,du
pays,NOM,pays
étrangers,ADJ,étranger
d,VER:simp,d
’,ABR,’
établir,VER:infi,établir
des,PRP:det,du
bases,NOM,base
militaires,ADJ,militaire
ou,KON,ou
d,NOM,d
’,ADJ,’
utiliser,VER:infi,utiliser
des,PRP:det,du
territoires,NOM,territoire
pour,PRP,pour
combattre,VER:infi,combattre
d,NOM,d
’,ADJ,’
autres,ADJ,autre
pays,NOM,pays
",",PUN,","
ne,ADV,ne
pas,ADV,pas
recourir,VER:infi,recourir
à,PRP,à
la,DET:ART,le
force,NOM,force
ni,KON,ni
menacer,VER:infi,menacer
d,VER:pper,d
',PUN,'
y,PRO:PER,y
recourir,VER:infi,recourir
dans,PRP,dans
les,DET:ART,le
relations,NOM,relation
internationales,ADJ,international
),PUN,)
.,SENT,.
Le,DET:ART,le
Vietnam,NAM,Vietnam
considère,VER:pres,considérer
toujours,ADV,toujours
le,DET:ART,le
maintien,NOM,maintien
d,VER:futu,d
’,ADJ,’
un,DET:ART,un
environnement,NOM,environnement
de,PRP,de
sécurité,NOM,sécurité
pacifique,ADJ,pacifique
et,KON,et
stable,ADJ,stable
comme,KON,comme
l,ADJ,l
’,NAM,’
un,NUM,un
des,PRP:det,du
facteurs,NOM,facteur
clés,NOM,clé
de,PRP,de
la,DET:ART,le
coopération,NOM,coopération
et,KON,et
du,PRP:det,du
développement,NOM,développement
commun,ADJ,commun
.,SENT,.
Le,DET:ART,le
Vietnam,NAM,Vietnam
apprécie,VER:pres,apprécier
hautement,ADV,hautement
les,DET:ART,le
initiatives,NOM,initiative
chinoises,ADJ,chinois
de,PRP,de
coopération,NOM,coopération
majeures,ADJ,majeur
et,KON,et
pour,KON,pour
l,VER:subi,l
’,ADJ,’
intérêt,NOM,intérêt
commun,ADJ,commun
dans,PRP,dans
le,DET:ART,le
monde,NOM,monde
...,PUN,...
Le,DET:ART,le
général,NOM,général
de,PRP,de
corps,NOM,corps
d,ADJ,d
’,ADJ,’
armée,VER:pper,armer
He_Weidong,NAM,He_Weidong
a,VER:pres,avoir
affirmé,VER:pper,affirmer
que,KON,que
la,DET:ART,le
Chine,NAM,Chine
attachait,VER:impf,attacher
de,PRP,de
l,NOM,l
’,ABR,’
importance,NOM,importance
à,PRP,à
la,DET:ART,le
consolidation,NOM,consolidation
et,KON,et
au,PRP:det,au
développement,NOM,développement
de,PRP,de
son,DET:POS,son
partenariat,NOM,partenariat
de,PRP,de
coopération,NOM,coopération
stratégique,ADJ,stratégique
intégral,ADJ,intégral
avec,PRP,avec
le,DET:ART,le
Vietnam,NAM,Vietnam
.,SENT,.
Rencontre,NOM,rencontre
entre,PRP,entre
des,PRP:det,du
officiers,NOM,officier
vietnamiens,ADJ,vietnamien
et,KON,et
chinois,ADJ,chinois
.,SENT,.
Photo,NOM,photo
:,PUN,:
VNA,NAM,VNA
.,SENT,.
